,xcoord,ycoord
93,-914.9245126534606,290.80141697770966
94,-309.92446564106217,-1172.324699160594
95,-331.2578435607343,-1102.708048143316
96,-969.4758146565848,-28.3729133532928
97,595.5504149759922,-1020.9158718850563
98,-816.9371151376608,-1236.6229069741155
99,-607.8147139337865,241.99656422465478
100,1166.0800701280832,824.3417899543913
101,337.8045503983645,-60.0225274732529
102,676.1466398077987,-489.52649947617385
103,413.87623788797276,-699.2960995815251
104,-1150.0816162524989,-295.6839425708384
105,542.4170383841122,72.69839988127964
106,516.5958995312967,-1336.1903128097936
107,558.9190019282323,1272.4093853854072
108,-134.773554867455,1219.7024205280682
109,968.2576711247787,-289.59990852494644
110,701.3826558317106,-1293.7630777605002
111,1353.5170897722505,-211.86751968006206
112,-1031.4597633215342,240.91195207050225
113,870.7441838046377,-937.1735219945988
114,-609.9443230556077,968.018700577048
115,1050.287872880278,-475.1683176551428
116,857.784874024905,-98.90394116604294
117,436.0957862031915,928.9918724577392
118,321.6134618547117,-277.85063796048735
119,861.9760794487617,-230.27433623692582
120,815.6612064824174,954.6257281306541
121,1092.0321934662163,983.9811650311094
122,-1436.5344394843496,-324.5479380561374
123,724.1534583261323,-872.9686001818031
124,-720.8217410761492,-926.4165613928021
125,-514.1005235957796,-383.18853698529995
126,-1189.111606202716,-405.2357859908273
127,330.7415045006232,222.9211750575908
128,-615.4728713466519,-506.14350458903175
129,1203.866527168957,-238.8759687151439
130,702.4831588650882,-451.2161531453501
131,155.4112202193095,-291.6411858943391
132,-224.53006712818356,-1371.456171731699
133,691.8287866342545,465.41210479792903
134,-107.44964906167756,-359.7002472724269
135,378.11196198632996,151.2369085415098
136,-265.9734902743612,-708.6692559444243
137,-234.11173190776958,-588.5716280370517
138,-347.92364101285733,-1298.1516923853953
139,-168.8582680803919,837.8731540993595
140,-788.4473652863488,-1097.863896367959
141,-57.320401439307346,-623.2927174351436
142,799.7573264067244,683.3414861426352
143,348.7118706552846,1210.5911986566098
144,-1209.920354225237,-35.27253036457943
145,991.7303655056921,605.3765312612164
146,-1398.0243654595092,-364.40297298845115
147,453.4080776397285,-563.9099070207448
148,-383.60797921294744,993.3256497277077
149,1194.5035300471668,-774.0566771090993
150,368.39636850372284,200.29908374965547
151,338.31739367600426,97.38636652590415
152,-516.8145280459944,-514.6986284053492
153,1182.8004612075633,-149.4258430621526
154,-634.8773308591778,-421.8853486661082
155,-574.4777992497524,-314.9021872593169
156,-210.72439415280152,1002.7828582849744
157,1175.2867229416568,149.59112243151625
158,735.7259779446608,61.643900475624235
159,1.670553355261018,826.9970878177566
160,324.99247985423517,-1147.8579575022188
161,-590.4975265675397,1356.6458682924683
162,-97.79524163268084,-1251.5432916500972
163,1237.6820818770286,-483.42914136971996
164,-572.3549170641822,723.1448341209574
165,-9.423020360329117,-793.6382077694053
